stepno=   33, timepoints=1.900800e+03, conv=0, iters=26, x=7.101793e-01 6.725007e-01 9.999995e+00 5.970488e-01 1.500000e+00 1.000000e+01 -4.644912e-03 -2.091427e-03 
stepno=   34, timepoints=1.971200e+03, conv=0, iters=26, x=7.101885e-01 6.725027e-01 9.999997e+00 6.044900e-01 1.500000e+00 1.000000e+01 -4.644906e-03 -2.090707e-03 
stepno=   35, timepoints=2.041600e+03, conv=0, iters=26, x=7.101971e-01 6.725046e-01 9.999998e+00 6.114423e-01 1.500000e+00 1.000000e+01 -4.644900e-03 -2.090035e-03 
stepno=   36, timepoints=2.112000e+03, conv=0, iters=26, x=7.102051e-01 6.725064e-01 9.999999e+00 6.179379e-01 1.500000e+00 1.000000e+01 -4.644895e-03 -2.089407e-03 
stepno=   37, timepoints=2.182400e+03, conv=0, iters=26, x=7.102125e-01 6.725081e-01 9.999999e+00 6.240068e-01 1.500000e+00 1.000000e+01 -4.644891e-03 -2.088821e-03 
stepno=   38, timepoints=2.252800e+03, conv=0, iters=26, x=7.102195e-01 6.725097e-01 1.000000e+01 6.296770e-01 1.500000e+00 1.000000e+01 -4.644888e-03 -2.088273e-03 
stepno=   39, timepoints=2.323200e+03, conv=0, iters=26, x=7.102261e-01 6.725111e-01 1.000000e+01 6.349747e-01 1.500000e+00 1.000000e+01 -4.644884e-03 -2.087761e-03 
stepno=   40, timepoints=2.393600e+03, conv=0, iters=26, x=7.102322e-01 6.725125e-01 1.000000e+01 6.399244e-01 1.500000e+00 1.000000e+01 -4.644881e-03 -2.087282e-03 
stepno=   41, timepoints=2.464000e+03, conv=0, iters=26, x=7.102379e-01 6.725137e-01 1.000000e+01 6.445489e-01 1.500000e+00 1.000000e+01 -4.644878e-03 -2.086835e-03 
stepno=   42, timepoints=2.534400e+03, conv=0, iters=26, x=7.102432e-01 6.725149e-01 1.000000e+01 6.488696e-01 1.500000e+00 1.000000e+01 -4.644875e-03 -2.086418e-03 
stepno=   43, timepoints=2.604800e+03, conv=0, iters=26, x=7.102482e-01 6.725160e-01 1.000000e+01 6.529065e-01 1.500000e+00 1.000000e+01 -4.644873e-03 -2.086027e-03 
stepno=   44, timepoints=2.675200e+03, conv=0, iters=26, x=7.102529e-01 6.725171e-01 1.000000e+01 6.566781e-01 1.500000e+00 1.000000e+01 -4.644871e-03 -2.085663e-03 
stepno=   45, timepoints=2.745600e+03, conv=0, iters=26, x=7.102572e-01 6.725180e-01 1.000000e+01 6.602020e-01 1.500000e+00 1.000000e+01 -4.644868e-03 -2.085322e-03 
