stepno=   25, timepoints=8.310000e+02, conv=0, iters=48, x=1.875157e+00 -8.124844e+00 -1.602724e+00 1.566464e+00 1.566463e+00 4.290476e-01 4.290470e-01 1.490473e+00 1.490473e+00 9.076865e+00 3.972758e-01 9.284063e+00 1.200001e+01 1.200001e+01 -3.339173e-03 -3.287371e-03 -6.522120e-04 2.962257e-04 
stepno=   26, timepoints=9.590000e+02, conv=1, iters=50, x=
stepno=   27, timepoints=8.950000e+02, conv=0, iters=47, x=1.832111e+00 -8.167891e+00 -1.546059e+00 1.524437e+00 1.524437e+00 4.255276e-01 4.255270e-01 1.447945e+00 1.447945e+00 9.280940e+00 4.539409e-01 9.492450e+00 1.200001e+01 1.200001e+01 -3.298661e-03 -3.245781e-03 -6.621832e-04 3.012832e-04 
stepno=   28, timepoints=1.023000e+03, conv=1, iters=50, x=
stepno=   29, timepoints=9.590000e+02, conv=0, iters=46, x=1.805908e+00 -8.194094e+00 -1.491558e+00 1.499305e+00 1.499305e+00 4.217881e-01 4.217875e-01 1.422021e+00 1.422021e+00 9.454674e+00 5.084417e-01 9.669834e+00 1.200001e+01 1.200001e+01 -3.261510e-03 -3.207718e-03 -6.702536e-04 3.053792e-04 
stepno=   30, timepoints=1.087000e+03, conv=1, iters=50, x=
stepno=   31, timepoints=1.023000e+03, conv=0, iters=45, x=1.790219e+00 -8.209782e+00 -1.441156e+00 1.484183e+00 1.484183e+00 4.180432e-01 4.180427e-01 1.406490e+00 1.406490e+00 9.602649e+00 5.588432e-01 9.820899e+00 1.200001e+01 1.200001e+01 -3.228290e-03 -3.173725e-03 -6.768626e-04 3.087357e-04 
stepno=   32, timepoints=1.151000e+03, conv=1, iters=50, x=
stepno=   33, timepoints=1.087000e+03, conv=0, iters=45, x=1.780955e+00 -8.219047e+00 -1.395764e+00 1.475148e+00 1.475148e+00 4.144130e-01 4.144125e-01 1.397311e+00 1.397311e+00 9.728731e+00 6.042356e-01 9.949597e+00 1.200001e+01 1.200001e+01 -3.199034e-03 -3.143815e-03 -6.823283e-04 3.115118e-04 
stepno=   34, timepoints=1.215000e+03, conv=1, iters=50, x=
stepno=   35, timepoints=1.151000e+03, conv=0, iters=45, x=1.775590e+00 -8.224412e+00 -1.355560e+00 1.469816e+00 1.469816e+00 4.109614e-01 4.109610e-01 1.391988e+00 1.391988e+00 9.836185e+00 6.444398e-01 1.005926e+01 1.200001e+01 1.200001e+01 -3.173504e-03 -3.117732e-03 -6.868852e-04 3.138271e-04 
stepno=   36, timepoints=1.279000e+03, conv=1, iters=50, x=
stepno=   37, timepoints=1.215000e+03, conv=0, iters=45, x=1.772574e+00 -8.227427e+00 -1.320356e+00 1.466728e+00 1.466728e+00 4.077186e-01 4.077182e-01 1.388990e+00 1.388990e+00 9.927781e+00 6.796435e-01 1.015274e+01 1.200001e+01 1.200001e+01 -3.151377e-03 -3.095137e-03 -6.907071e-04 3.157692e-04 
stepno=   38, timepoints=1.343000e+03, conv=1, iters=50, x=
stepno=   39, timepoints=1.279000e+03, conv=0, iters=45, x=1.770962e+00 -8.229039e+00 -1.289771e+00 1.464993e+00 1.464993e+00 4.046949e-01 4.046946e-01 1.387381e+00 1.387381e+00 1.000587e+01 7.102287e-01 1.023241e+01 1.200001e+01 1.200001e+01 -3.132289e-03 -3.075652e-03 -6.939269e-04 3.174055e-04 
stepno=   40, timepoints=1.407000e+03, conv=1, iters=50, x=
stepno=   41, timepoints=1.343000e+03, conv=0, iters=45, x=1.770177e+00 -8.229825e+00 -1.263342e+00 1.464065e+00 1.464065e+00 4.018891e-01 4.018887e-01 1.386592e+00 1.386592e+00 1.007245e+01 7.366578e-01 1.030033e+01 1.200001e+01 1.200001e+01 -3.115876e-03 -3.058903e-03 -6.966483e-04 3.187886e-04 
stepno=   42, timepoints=1.471000e+03, conv=1, iters=50, x=
stepno=   43, timepoints=1.407000e+03, conv=0, iters=45, x=1.769869e+00 -8.230132e+00 -1.240591e+00 1.463613e+00 1.463613e+00 3.992935e-01 3.992931e-01 1.386276e+00 1.386276e+00 1.012922e+01 7.594086e-01 1.035824e+01 1.200001e+01 1.200001e+01 -3.101797e-03 -3.044539e-03 -6.989542e-04 3.199605e-04 
stepno=   44, timepoints=1.535000e+03, conv=1, iters=50, x=
stepno=   45, timepoints=1.471000e+03, conv=0, iters=45, x=1.769828e+00 -8.230173e+00 -1.221059e+00 1.463436e+00 1.463436e+00 3.968970e-01 3.968967e-01 1.386226e+00 1.386226e+00 1.017763e+01 7.789402e-01 1.040761e+01 1.200001e+01 1.200001e+01 -3.089739e-03 -3.032241e-03 -7.009114e-04 3.209552e-04 
stepno=   46, timepoints=1.599000e+03, conv=1, iters=50, x=
stepno=   47, timepoints=1.535000e+03, conv=0, iters=45, x=1.769930e+00 -8.230072e+00 -1.204323e+00 1.463413e+00 1.463413e+00 3.946873e-01 3.946870e-01 1.386317e+00 1.386317e+00 1.021891e+01 7.956760e-01 1.044970e+01 1.200001e+01 1.200001e+01 -3.079424e-03 -3.021723e-03 -7.025749e-04 3.218005e-04 
stepno=   48, timepoints=1.663000e+03, conv=1, iters=50, x=
stepno=   49, timepoints=1.599000e+03, conv=0, iters=45, x=1.770099e+00 -8.229903e+00 -1.190003e+00 1.463471e+00 1.463471e+00 3.926512e-01 3.926509e-01 1.386477e+00 1.386477e+00 1.025411e+01 8.099964e-01 1.048560e+01 1.200001e+01 1.200001e+01 -3.070609e-03 -3.012735e-03 -7.039900e-04 3.225196e-04 
stepno=   50, timepoints=1.727000e+03, conv=1, iters=50, x=
